"";"V1";"V2";"V3"
"77";"*pers_Suetens-Max";"1.50407681109813";"-0.125320437762025"
"78";"*pers_Charpentier-Pierre-Albert";"1.50407681109813";"-0.125320437762025"
"79";"*pers_Poher-Alain-Emile-Louis-Marie";"1.50407681109813";"-0.125320437762025"
"80";"*date_1950-09-28";"0.228494315872909";"0.788014538037642"
"81";"*location_norvège";"0.133608090931868";"0.776270789961471"
"82";"*date_1953-05-9";"0.133608090931868";"0.776270789961471"
"83";"*location_danemark";"0.133608090931868";"0.776270789961471"
"84";"*location_quai-d-orsay";"0.133608090931868";"0.776270789961471"
"85";"*location_afrique";"0.133608090931868";"0.776270789961471"
"86";"*location_gênes";"0.133608090931868";"0.776270789961471"
"87";"*location_suède";"0.133608090931868";"0.776270789961471"
"88";"*location_suisse";"0.133608090931868";"0.776270789961471"
