espérer;0;6;1;8
engagement;5;5;4;0
déterminer;4;6;5;0
dépendre;1;5;9;0
décret;5;0;4;5
division;0;13;2;0
confirmer;6;2;2;5
concurrence;2;1;12;0
clause;8;0;3;3
aider;0;6;8;1
agricole;1;2;11;1
égard;3;4;4;3
échange;5;2;4;3
tarif;4;1;5;0
supranationale;7;7;0;0
suggestion;4;6;2;2
succès;2;5;2;4
social;6;3;5;0
révision;2;8;3;0
réserve;2;1;7;2
réel;2;10;2;0
risque;1;13;0;0
rechercher;2;11;1;0
organiser;4;7;1;1
obstacle;6;2;5;1
mener;1;11;1;1
marshall;1;2;9;2
justice;10;0;1;2
juin;2;0;2;9
importation;0;0;14;0
idée;1;10;1;2
entrer;5;6;1;2
déclarer;7;2;0;5
dkv;10;1;0;1
devenir;0;8;4;1
destiner;5;2;4;3
circonstance;6;6;1;1
angleterre;0;12;0;0
absence;4;2;5;3
élément;1;9;3;0
égalité;7;3;2;0
transport;0;0;11;1
transformation;1;3;9;0
spécial;9;0;4;0
soulever;4;4;0;5
sauvegarde;2;1;9;1
revenir;0;2;9;2
responsable;10;1;0;1
porter;4;5;1;3
perspective;1;11;1;0
outre_mer;10;0;2;0
opposition;3;10;0;0
nation;6;5;1;1
midi;0;0;0;12
luxembourg;3;5;0;4
ligne;1;3;3;6
intégrer;4;8;0;1
interlocuteur;4;2;2;5
industriel;5;1;5;2
indochine;0;5;8;0
honneur;1;1;4;7
homme;0;11;2;0
garantie;7;2;4;0
formule;5;5;1;0
fermer;0;5;6;2
fait;1;5;3;4
exportation;0;1;9;0
existence;3;7;3;0
démocratique;2;10;0;0
doute;3;8;0;2
crainte;1;5;7;0
courant;1;2;2;8
connaissance;4;0;1;8
conclure;11;0;2;0
complet;0;1;3;9
changer;0;9;1;1
attitude;1;10;0;2
approuver;8;1;3;1
administration;0;2;8;3
étendre;5;3;3;1
vote;8;1;1;2
transition;2;1;8;0
soutenir;2;6;3;1
sidérurgique;6;0;5;0
servir;2;3;7;0
réserver;4;1;1;6
réorganisation;4;4;0;3
régime;7;3;0;0
réflexion;3;5;0;4
réduction;0;0;10;0
risquer;1;6;3;2
péréquation;2;2;7;0
produit;3;0;9;0
maintien;4;4;4;0
main_d_oeuvre;0;0;12;0
lundi;1;0;0;11
juger;1;5;0;6
joint;5;0;2;5
interministériel;2;0;0;10
insister;6;2;3;1
imposer;5;4;3;0
heure;0;1;4;6
façon;1;2;4;5
exister;1;7;2;1
entretenir;0;1;0;11
dévoué;0;0;0;12
désirer;1;3;2;6
départ;0;2;2;7
débat;8;2;2;0
directement;6;2;2;2
difficile;4;3;5;0
courir;1;7;2;2
contraire;2;6;3;1
continent;1;11;0;0
conformément;8;2;0;2
collaborateur;0;0;0;12
charge;0;2;9;0
bureau;7;0;0;3
budget;0;0;9;2
benelux;3;6;3;0
avril;9;0;0;3
arrêter;1;3;2;6
ami;0;0;1;10
amener;3;8;1;0
agréer;1;0;0;11
1er;7;0;1;3
élargir;2;6;2;1
véritable;1;7;2;1
tiers;2;0;9;0
suppression;3;2;5;0
récent;3;3;1;3
rencontrer;0;5;2;4
reconstruction;0;0;11;0
ration;0;0;0;10
précis;6;3;2;0
profession;1;0;1;8
nom;3;5;0;2
mayer;4;1;0;3
marquer;4;6;1;0
large;0;7;4;0
impossible;2;3;1;5
hirsch;0;0;0;9
finalement;2;3;4;2
entendre;4;4;0;3
détermination;1;7;1;0
définitif;6;4;1;0
décembre;1;0;1;9
douane;2;0;8;0
