"";"V1";"V2";"V3";"V4"
"165";0;0;0;2
"166";0;4;4;4
"167";0;4;4;4
"168";0;4;4;4
"169";0;4;4;4
"170";0;4;4;4
"171";0;4;4;4
"172";0;4;4;4
"173";0;4;4;4
"174";0;4;4;4
"175";0;0;0;2
"176";0;0;0;2
"177";0;0;0;2
"178";0;4;4;4
"179";0;0;0;1
"180";0;4;4;4
"181";0;0;0;1
"182";0;4;4;4
"183";0;4;4;4
"184";0;4;4;4
"185";0;4;4;4
"186";0;0;0;1
"187";0;0;0;1
"188";0;0;0;2
"189";0;0;0;2
"190";0;0;0;2
"191";0;0;0;2
"192";0;0;0;1
"193";0;0;0;2
"194";0;0;0;1
"195";0;0;0;2
"196";0;0;0;2
"197";0;0;0;2
"198";0;0;0;2
"199";0;0;0;2
"200";0;0;0;2
"201";0;0;0;2
"202";0;0;0;2
"203";0;0;0;2
"204";0;0;0;2
"205";0;0;0;2
"206";0;0;0;2
"207";0;0;0;2
"208";0;0;0;2
"209";0;0;0;1
"210";0;0;0;1
"211";0;0;0;1
"212";0;0;0;2
"213";0;0;0;1
"214";0;0;3;3
"215";0;0;0;2
"216";0;0;3;3
"217";0;0;0;2
"218";0;0;0;2
"219";0;0;0;2
"220";0;0;3;3
"221";0;0;0;2
"222";0;0;0;1
"223";0;4;4;4
"224";0;0;0;1
"225";0;0;0;1
"226";0;0;0;1
"227";0;0;0;1
"228";0;0;0;1
"229";0;0;0;1
"230";0;0;0;1
"231";0;0;0;1
"232";0;0;3;3
"233";0;0;3;3
"234";0;4;4;4
"235";0;0;3;3
"236";0;0;0;1
"237";0;0;0;1
"238";0;0;0;1
"239";0;0;0;1
"240";0;0;0;1
"241";0;0;0;1
"242";0;4;4;4
"243";0;0;0;2
"244";0;0;3;3
"245";0;0;3;3
"246";0;0;0;2
"247";0;4;4;4
"248";0;0;0;1
"249";0;4;4;4
"250";0;0;0;1
"251";0;0;0;1
"252";0;0;0;1
"253";0;0;0;1
"254";0;4;4;4
"255";0;4;4;4
"256";0;4;4;4
"257";0;4;4;4
"258";0;4;4;4
"259";0;4;4;4
"260";0;4;4;4
"261";0;4;4;4
"262";0;4;4;4
"263";0;0;0;2
"264";0;0;0;1
"265";0;0;0;2
"266";0;0;3;3
"267";0;0;3;3
"268";0;0;3;3
"269";0;0;3;3
"270";0;0;3;3
"271";0;0;3;3
"272";0;0;3;3
"273";0;4;4;4
"274";0;0;0;1
"275";0;0;0;2
"276";0;0;3;3
"277";0;0;3;3
"278";0;0;0;2
"279";0;0;0;2
"280";0;0;0;2
"281";0;0;0;1
"282";0;0;0;2
"283";0;0;0;2
"284";0;0;0;2
"285";0;0;0;2
"286";0;0;0;2
"287";0;0;0;2
"288";0;0;0;2
"289";0;0;0;2
"290";0;0;0;2
"291";0;0;0;2
"292";0;0;0;2
"293";0;0;0;2
"294";0;0;0;2
"295";0;0;0;2
"296";0;0;0;2
"297";0;4;4;4
"298";0;4;4;4
"299";0;0;0;2
"300";0;0;0;1
"301";0;0;0;2
"302";0;0;0;2
"303";0;0;0;2
"304";0;0;0;2
"305";0;0;0;2
"306";0;0;0;2
"307";0;0;0;2
"308";0;0;0;2
"309";0;0;0;2
"310";0;0;0;2
"311";0;0;0;2
"312";0;0;0;2
"313";0;0;0;2
"314";0;0;0;2
"315";0;0;0;2
"316";0;0;0;2
"317";0;0;0;2
"318";0;0;0;2
"319";0;0;0;2
"320";0;0;3;3
"321";0;0;3;3
"322";0;0;0;2
"323";0;0;0;2
"324";0;0;3;3
"325";0;0;3;3
"326";0;0;0;2
"327";0;0;0;2
"328";0;0;0;2
"329";0;0;0;2
"330";0;0;0;2
"331";0;0;0;2
"332";0;0;0;2
"333";0;0;0;2
"334";0;0;0;2
"335";0;0;0;2
"336";0;0;0;2
"337";0;0;0;2
"338";0;0;0;2
"339";0;0;0;2
"340";0;0;0;2
"341";0;0;0;1
"342";0;0;0;2
"343";0;0;3;3
"344";0;0;0;2
"345";0;0;0;1
"346";0;0;0;2
"347";0;0;0;2
"348";0;0;0;2
"349";0;0;3;3
"350";0;0;0;2
"351";0;0;0;2
"352";0;0;0;2
"353";0;0;0;2
"354";0;0;0;1
"355";0;0;0;2
"356";0;0;0;2
"357";0;0;0;2
"358";0;4;4;4
"359";0;0;0;2
"360";0;0;0;2
"361";0;0;0;2
"362";0;0;0;2
"363";0;0;0;2
"364";0;0;0;2
"365";0;0;0;2
"366";0;0;0;2
"367";0;0;0;2
"368";0;0;0;1
"369";0;0;0;2
"370";0;4;4;4
"371";0;4;4;4
"372";0;0;0;0
"373";0;0;0;0
"374";0;4;4;4
"375";0;4;4;4
"376";0;4;4;4
"377";0;4;4;4
"378";0;0;0;1
"379";0;4;4;4
"380";0;4;4;4
"381";0;4;4;4
"382";0;4;4;4
"383";0;4;4;4
"384";0;0;3;3
"385";0;0;0;1
"386";0;0;0;1
"387";0;0;0;1
"388";0;0;0;1
"389";0;0;0;1
"390";0;4;4;4
"391";0;0;0;1
"392";0;0;0;1
"393";0;0;0;1
"394";0;0;0;1
"395";0;0;0;1
"396";0;0;0;1
"397";0;0;0;1
"398";0;0;0;1
"399";0;0;0;1
"400";0;0;0;1
"401";0;0;0;1
"402";0;0;0;1
"403";0;0;0;2
"404";0;0;0;1
"405";0;0;0;1
"406";0;0;0;1
"407";0;0;3;3
"408";0;0;0;1
"409";0;4;4;4
"410";0;0;0;1
