"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"commentaire";-0,260909632923463;-2,19646399379823;-0,636643040690607;-0,113354979194516;-0,954277262700916;-0,276596374856683;0,0171898725635023;0,920397178697418;0,0624129487390797;8,6655709108825e-06;0,00061413681114084;5,15951577960431e-05;0,00012729664361183;1,19937236728732;0,000183115467655501
"combler";-1,86387823017182;-2,67759218334967;-0,299699485271783;-0,568917971278748;-0,817290683588647;-0,0914783060363283;0,388361846543061;0,605515160502604;0,00612299295433639;0,000442233893610784;0,000912653273688027;1,14337567113555e-05;0,00012729664361183;1,80260059761806;0,000413633756676666
"collectivité";-1,50000966082213;-1,03300949669229;-0,877650065874563;-0,74194224729802;-0,510952300824517;-0,434107645586318;0,638135301804136;0,22864829066907;0,133216407526795;0,000286421137509195;0,000135839345727897;9,80527396100001e-05;0,00012729664361183;1,13171722078765;0,000163039487566596
"collaborer";-0,440437781560277;1,79088960203011;-0,267840012315096;-0,236336932680655;0,960983305778342;-0,143721745976135;0,0729039138764353;0,910655287730317;0,0164407983932471;2,46936953484625e-05;0,000408276687740427;9,13204126918368e-06;0,00012729664361183;0,98312648936113;0,000123037004381152
"cloisonnement";-1,86387823017182;-2,67759218334967;-0,299699485271783;-0,568917971278748;-0,817290683588647;-0,0914783060363283;0,388361846543061;0,605515160502604;0,00612299295433639;0,000442233893610784;0,000912653273688027;1,14337567113555e-05;0,00012729664361183;1,80260059761806;0,000413633756676666
"climat";-0,772272522122754;2,25615587662247;-2,03355122708012;-0,246417289013232;0,71989589009385;-0,648867033452427;0,0856433011698595;0,552236501788085;0,362120197042056;7,59203354384317e-05;0,000647970383114286;0,000526413704734468;0,00012729664361183;1,59046507422009;0,00032200693584002
"circulation";-1,16817492025966;-1,49827577128465;0,888061148890462;-0,557024838223914;-0,714427954787061;0,423457231630773;0,385323318002011;0,478881126225358;0,135795555772632;0,000173713155385538;0,000285759360990193;0,000100392829486398;0,00012729664361183;1,1342152595825;0,000163760035864106
"ci_jointe";0,434793676988704;-1,01714758173321;0,551117593471638;0,351812894714733;-0,823024008904686;0,445936282308245;0,163549175050183;0,67621458363423;0,160236241315587;2,4064862929014e-05;0,000131699733062213;3,86638861756656e-05;0,00012729664361183;0,647976557584265;5,34485024626071e-05
"charbonnier";0,798662246338394;0,627435104924167;-0,0268329871311406;0,786084810523293;0,617554176162973;-0,0264104177973369;0,681678369010266;0,317852405574571;0,000469225415164348;8,11976132379543e-05;5,01134821009717e-05;9,16547543234127e-08;0,00012729664361183;0,583006842954857;4,32677445918686e-05
"champ";0,223231699564676;0,860357052845372;3,26358241721496;0,0659969025640622;0,254358591085711;0,9648554896941;0,0070146267216508;0,0787199759561513;0,914265397322199;6,34349620535502e-06;9,42267906454925e-05;0,00135583275690006;0,00012729664361183;1,60640052212896;0,000328491870517614
"certitude";-0,260909632923463;-2,19646399379823;-0,636643040690607;-0,113354979194516;-0,954277262700916;-0,276596374856683;0,0171898725635023;0,920397178697418;0,0624129487390797;8,6655709108825e-06;0,00061413681114084;5,15951577960431e-05;0,00012729664361183;1,19937236728732;0,000183115467655501
"capable";-0,440437781560277;1,79088960203011;-0,267840012315096;-0,236336932680655;0,960983305778342;-0,143721745976135;0,0729039138764353;0,910655287730317;0,0164407983932471;2,46936953484625e-05;0,000408276687740427;9,13204126918368e-06;0,00012729664361183;0,98312648936113;0,000123037004381152
"bénéfice";-1,13614109147244;0,611573189965093;-1,45560064647734;-0,584088955171898;0,314409141803775;-0,748322780621046;0,450479724361082;0,098614837493645;0,450905438145274;0,000164316618118411;4,76117155366504e-05;0,000269712722284371;0,00012729664361183;1,02022249881466;0,00013249721395438
