"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"*pers_Clappier,_Bernard";0,073;0,263;0,237;0,005;0,137;0,293
"*pers_Ramadier,_Paul";0,234;0,565;0,542;0,501;0,338;0,588
"*pers_Suetens,_Max";0,501;0,565;0,166;0,234;0,443;0,588
"*pers_Bonnet,_Henri";0,025;0,477;0,452;0,406;0,636;0,504
"*pers_Bidault,_Georges";0,907;0,352;0,325;0,907;0,035;0,381
"*pers_Hallstein,_Walter";0,475;0,702;0,163;0,005;0,069;0,198
"*pers_Buron,_Robert_Albert_Gaston";0,406;0,477;0,011;0,406;0,636;0,504
"*date_1948-05-10";0,636;0,686;0,669;0,636;0,06;0,703
"*date_1947-10-04";0,032;0,686;0,669;0,636;0,59;0,703
"*pers_Etzel,_Franz";0,501;0,565;0,542;0,234;0,443;0,104
"*pers_Marshall,_Georges_Catlett";0,186;0,352;0,325;0,277;0,322;0,599
"*pers_Uri,_Pierre_Emmanuel";0,234;0,565;0,542;0,234;0,443;0,588
"*pers_McCloy,_Jonh_Jay";0,71;0,409;0,047;0,71;0,271;0,437
"*pers_Blamont,_Emile";0,501;0,565;0,001;0,501;0,443;0,588
"*pers_Hayter,_Sir_William_Goodenough";0,234;0,565;0,542;0,234;0,443;0,588
"*pers_Mayer,_René";0,665;0,228;0,418;0,665;0,045;0,257
"*pers_Plowden,_Edwin_Noel";0,501;0,134;0,542;0,234;0,443;0,588
"*type_Lettre";0,001;0,005;0,002;0,019;0,748;0,785
"*type_Mémorandum";0,075;0,128;0;0,132;0,205;0,633
"*date_1951-05-08";0,501;0,565;0,001;0,501;0,443;0,588
"*pers_Bourbon-Busset,_Jacques_Louis_Robert_Marie";0,032;0,686;0,669;0,636;0,59;0,703
"*type_Projet";0,501;0,565;0,542;0,501;0,443;0
"*pers_Bruce,_David";0,71;0,409;0,578;0,087;0,271;0,437
"*pers_François-Poncet,_André";0,636;0,686;0,669;0,032;0,59;0,703
"*pers_Daum,_Léon";0,501;0,565;0,542;0,234;0,443;0,104
"*pers_Bourgès-Manoury,_Maurice";0,501;0,565;0,166;0,501;0,338;0,588
"*pers_Petsche,_Maurice";0,482;0,477;0,011;0,406;0,344;0,504
"*pers_Hubert,_Lucien_Louis_Théodore";0,501;0;0,542;0,501;0,443;0,588
"*pers_De_Gasperi,_Alcide";0,501;0,565;0,542;0,002;0,443;0,588
"*type_Note";0,132;0,198;0,536;0,563;0,01;0,893
"*pers_Louvel,_Jean-Marie";0,907;0,682;0,004;0,277;0,215;0,381
"*pers_Mollet,_Guy";0,71;0,409;0,001;0,334;0,271;0,437
"*pers_Eden,_Anthony";0,501;0,565;0,542;0,002;0,443;0,588
"*pers_Giacchero,_Enzo";0,501;0,565;0,542;0,234;0,443;0,104
"*type_Télégramme";0,334;0,409;0,382;0,002;0,891;0,437
"*pers_Faure,_Edgar_Jean";0,406;0,477;0,011;0,406;0,636;0,504
"*pers_Caffery,_Jefferson";0,032;0,686;0,669;0,636;0,59;0,703
"*place_Paris";0,079;0,85;0,066;0,189;0,147;0,372
"*date_1950-09-16";0,234;0,565;0,542;0,234;0,443;0,588
"*date_1952-07-29";0,501;0,565;0,542;0,501;0,443;0
"*pers_Pinay,_Antoine";0,501;0,134;0,542;0,501;0,338;0,588
"*date_1951-03-19";0,234;0,565;0,542;0,234;0,443;0,588
"*pers_Parodi,_Alexandre";0,71;0,409;0,382;0,002;0,271;0,437
"*pers_Wehrer,_Albert";0,277;0,08;0,325;0,186;0,215;0,599
"*pers_Harriman,_William_Averell";0,482;0,32;0,452;0,406;0,636;0,504
"*date_1952-07-22";0,234;0,565;0,542;0,501;0,443;0,104
"*pers_Erhard,_Ludwig";0,636;0,686;0,018;0,636;0,59;0,703
"*pers_Schneiter,_Pierre";0,501;0,565;0,542;0,002;0,443;0,588
"*date_1952-06-28";0,406;0,477;0,452;0,406;0,344;0
"*pers_Le_Vert,_Paul_Maurice";0,636;0,686;0,669;0,032;0,59;0,703
"*pers_Bacon,_Paul";0,501;0,565;0,001;0,501;0,443;0,588
"*pers_Westrick,_Ludger";1;1;1;1;1;1
"*pers_Tomlinson,_William_Mahon";0,025;0,477;0,452;0,482;0,344;0,504
"*pers_Hirsch,_Etienne";0,034;0,304;0,921;0,926;0,732;0,334
"*date_1951-09-25";0,234;0,565;0,542;0,501;0,338;0,588
"*place_Luxembourg";0,482;0,477;0,452;0,482;0,344;0,265
"*pers_Spaak,_Paul-Henri";0,087;0,409;0,382;0,71;0,891;0,437
"*pers_Couve_de_Murville,_Jacques_Maurice";0,71;0,409;0,382;0,002;0,271;0,437
"*pers_Pelou,_Maurice";1;1;1;1;1;1
"*pers_Spierenburg,_Dirk_Pieter";0,277;0,682;0,761;0,186;0,215;0,599
"*pers_Queuille,_Henri";0,234;0,565;0,542;0,501;0,443;0,104
"*pers_Denis,_Pierre";0,002;0,565;0,542;0,501;0,443;0,588
"*pers_Pleven,_René";0,588;0,228;0,203;0,013;0,841;0,257
"*pers_Finet,_Paul_C.E.";1;1;1;1;1;1
"*pers_Bevin,_Ernest";0,234;0,565;0,542;0,234;0,443;0,588
"*date_1952-03-19";0,636;0,686;0,669;0,032;0,59;0,703
"*pers_Adenauer,_Konrad";0,728;0,797;0,108;0,203;0,086;0,225
