"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"changement";0,277;0,352;0,325;0,186;0,035;0,381
"chambre";0,334;0,508;0,047;0,334;0,271;0,437
"capital";0,334;0,508;0,578;0,71;0,891;0,437
"bonnet";0,482;0,477;0,452;0,406;0,059;0,504
"augmenter";0,926;0,304;0,277;0,23;0,006;0,747
"augmentation";0,334;0,409;0,382;0,334;0;0,437
"attribuer";0,665;0,228;0,817;0,159;0,045;0,257
"attacher";0,23;0,304;0,277;0,034;0,087;0,334
"assumer";0,191;0,237;0,939;0,191;0,019;0,293
"approbation";0,277;0,682;0,761;0,277;0,035;0,381
"annuel";0,23;0,304;0,277;0,926;0;0,334
"accomplir";0,191;0,263;0,237;0,005;0,167;0,293
"étudier";0,23;0,304;0,277;0,31;0,087;0,747
"élire";0,334;0,409;0,382;0,71;0,271;0
"électricité";0,406;0,477;0,452;0,406;0,001;0,504
"élaborer";0,191;0,975;0,939;0,073;0,595;0,88
"écarter";0,23;0,837;0,199;0,926;0,732;0,747
"wehrer";0,334;0,032;0,382;0,087;0,271;0,437
"urgent";0,277;0,352;0,325;0,186;0,035;0,381
"universel";0,277;0,352;0,325;0,011;0,322;0,381
"trésor";0,406;0,477;0,452;0,406;0,001;0,504
"transmettre";0,277;0,352;0,111;0,277;0,322;0,599
"tcc";0,406;0,32;0,452;0,406;0,059;0,504
"substituer";0,334;0,409;0,578;0,087;0,891;0,437
"stade";0,277;0,352;0,325;0;0,901;0,381
"sortir";0,334;0,508;0,578;0,087;0,271;0,437
"réalité";0,334;0,409;0,578;0,002;0,271;0,437
"reprendre";0,23;0,304;0;0,23;0,732;0,747
"renforcer";0,191;0,975;0,939;0,446;0,167;0,293
"remercier";0,277;0,08;0,325;0,277;0,901;0,054
"recueillir";0,334;0,032;0,382;0,334;0,169;0,437
"pénurie";0,406;0,32;0,375;0,406;0,636;0,504
"présidence";0,334;0,032;0,578;0,334;0,891;0,437
"proposé";0,277;0,352;0,761;0,277;0,001;0,381
"prononcer";0,23;0,304;0,199;0,926;0,087;0,334
"professionnel";0,406;0,32;0,452;0,406;0,636;0,265
"presse";0,23;0,304;0,921;0,034;0,494;0,334
"pratiquement";0,277;0,352;0,111;0,277;0,035;0,381
"positif";0,334;0,508;0,382;0,002;0,271;0,437
"organiser";0,277;0,682;0,325;0,011;0,901;0,381
"opposer";0,406;0,477;0,452;0,482;0,059;0,504
"offrir";0,907;0,352;0,325;0,186;0,322;0,381
"nombreux";0,334;0,409;0,382;0,334;0;0,437
"milieu";0,23;0,837;0,921;0,926;0,087;0,334
"mentionner";0,907;0,682;0,761;0,907;0,215;0,599
"limitation";0,334;0,409;0,382;0,087;0,169;0,437
"lier";0,23;0,304;0,199;0,31;0,494;0,334
"indépendance";0,191;0,263;0,939;0,191;0,001;0,88
"incompatible";0,277;0,682;0,325;0,186;0,901;0,599
"ii";0,191;0,263;0,001;0,785;0,595;0,88
"garantir";0,406;0,477;0,375;0,406;0,059;0,504
"février";0,277;0,682;0,761;0,907;0,901;0,599
"formuler";0,277;0,352;0,111;0,907;0,322;0,381
"fonctionnaire";0,277;0,682;0,761;0,907;0,322;0,381
"faveur";0,23;0,15;0,277;0,001;0,171;0,334
"extérieur";0,334;0,409;0,382;0,334;0;0,437
"extension";0,277;0,352;0,325;0,907;0,035;0,599
"exploitation";0,406;0,32;0,452;0,406;0,059;0,504
"exister";0,277;0,352;0,111;0,907;0,322;0,381
"existant";0,406;0,477;0,011;0,406;0,636;0,504
"entraîner";0,406;0,477;0,452;0,482;0,059;0,504
"emploi";0,334;0,409;0,382;0,334;0;0,437
"désir";0,334;0,032;0,382;0,71;0,891;0,437
"déficit";0,334;0,409;0,382;0,334;0;0,437
"directeur";0,277;0,682;0,325;0,907;0,035;0,381
"différence";0,334;0,409;0,578;0,71;0,169;0,437
"coup";0,71;0,409;0,382;0,334;0,169;0,437
"correspondant";0,334;0,409;0,578;0,71;0,169;0,437
"continental";0,334;0,409;0,382;0;0,271;0,437
"constater";0,23;0,837;0,921;0,31;0,494;0,334
"confiance";0,334;0,409;0,382;0,334;0,009;0,437
"conduire";0,406;0,477;0,452;0,025;0,636;0,504
"compromis";0,277;0,352;0,761;0,186;0,322;0,381
"communiquer";0,71;0,409;0,382;0,71;0,169;0,437
"commencer";0,23;0,304;0,921;0,001;0,732;0,334
"choix";0,71;0,409;0,382;0,334;0,891;0,02
"bref";0,23;0,304;0,277;0,034;0,087;0,334
"auprès_de";0,334;0,508;0,382;0,71;0,169;0,437
"associer";0,406;0,477;0,452;0;0,344;0,504
"appliquer";0,23;0,837;0,199;0,23;0,087;0,334
"amener";0,23;0,837;0,277;0,31;0,087;0,334
"agricole";0,334;0,409;0,382;0,334;0;0,437
"adopter";0,334;0,409;0,382;0,334;0;0,437
"admettre";0,23;0,837;0,921;0,926;0,494;0,747
"acquérir";0,277;0,682;0,325;0,907;0,322;0,599
"acceptation";0,277;0,352;0,761;0,907;0,901;0,054
"éventuellement";0,087;0,409;0,382;0,71;0,891;0,437
"ultérieurement";0,334;0,409;0,382;0,087;0,169;0,437
"tentation";0,277;0,352;0,325;0;0,215;0,381
"sérieux";0,277;0,352;0,325;0,907;0,035;0,599
"série";0,334;0,508;0,382;0,334;0,009;0,437
"surmonter";0,277;0,352;0,325;0,011;0,322;0,381
"suffisant";0,277;0,352;0,325;0,186;0,035;0,381
"subordonné";0,406;0,477;0,375;0,025;0,344;0,504
"sorte";0,334;0,409;0,382;0,334;0;0,437
"simple";0,334;0,409;0,382;0,71;0,009;0,437
"secteur";0,406;0,477;0,375;0,406;0,059;0,504
"secrétariat";0,71;0,409;0,382;0,334;0,009;0,437
"satisfaisant";0,406;0,477;0,452;0,482;0,059;0,504
"sage";0,406;0,477;0,452;0,482;0,059;0,504
"réviser";0,277;0,352;0,111;0,186;0,901;0,381
"représentation";0,23;0,304;0,199;0,23;0,087;0,747
"reprise";0,334;0,032;0,382;0,71;0,891;0,437
"renoncer";0,406;0,477;0,375;0,025;0,344;0,504
"relever";0,277;0,352;0,111;0,907;0,901;0,599
"quantité";0,277;0,352;0,111;0,277;0,035;0,381
"précéder";0,277;0,682;0,111;0,907;0,901;0,381
"protection";0,406;0,32;0,452;0,482;0,636;0,504
"progressivement";0,406;0,477;0,375;0,482;0,636;0,504
"porte";0,406;0,32;0,452;0,406;0,059;0,504
"parer";0,334;0,409;0,382;0,71;0,169;0,437
"opposé";0,406;0,477;0,375;0,025;0,344;0,504
"officiellement";0,406;0,32;0,452;0,482;0,636;0,504
"occidental";0,277;0,352;0,761;0,186;0,322;0,381
"obligation";0,277;0,352;0,004;0,277;0,322;0,381
"minute";0,025;0,477;0,452;0,406;0,636;0,504
"maximum";0,334;0,508;0,382;0,334;0,009;0,437
"mardi";0,406;0,477;0,375;0,406;0,636;0,265
"majorité";0,277;0,352;0,325;0,186;0,322;0,599
"majeur";0,23;0,304;0,277;0,31;0,006;0,334
"main";0,406;0,32;0,452;0,406;0,059;0,504
"lisbonne";0,277;0,682;0,325;0,277;0,035;0,599
"libre";0,277;0,682;0,325;0,186;0,901;0,599
"largement";0,277;0,352;0,325;0,277;0;0,381
"intermédiaire";0,23;0,837;0,199;0,926;0,494;0,334
"intention";0,926;0,304;0,199;0,926;0,494;0,334
"inspirer";0,71;0,409;0,382;0,087;0,891;0,437
"iii";0,23;0,304;0,199;0,926;0,087;0,334
"i";0,277;0,682;0,761;0,907;0,322;0,381
"fusion";0,406;0,477;0,452;0,025;0,636;0,504
"finalement";0,23;0,304;0,921;0,926;0,087;0,747
"favoriser";0,406;0,32;0,452;0,482;0,636;0,504
"expansion";0,334;0,508;0,382;0,334;0,009;0,437
"exceptionnel";0,406;0,477;0,452;0,482;0,059;0,504
"entreprendre";0,277;0,682;0,325;0,907;0,035;0,381
"entier";0,277;0,682;0,111;0,277;0,322;0,381
"efficace";0,406;0,477;0,452;0,482;0,059;0,504
"détail";0,277;0,352;0,761;0,907;0,322;0,599
"désignation";0,23;0,304;0,199;0,23;0,171;0
"dépasser";0,277;0,352;0,325;0,907;0,001;0,381
"décisif";0,277;0,682;0,325;0,011;0,901;0,381
"destinée";0,334;0,032;0,578;0,71;0,271;0,437
"crainte";0,277;0,352;0,325;0,186;0,035;0,381
"convoquer";0,482;0,007;0,452;0,406;0,344;0,504
"consommateur";0,277;0,682;0,761;0,907;0,322;0,381
"consister";0,406;0,477;0,452;0,025;0,636;0,504
"considération";0,277;0,08;0,325;0,277;0,901;0,054
"consentir";0,23;0,304;0,921;0,926;0,087;0,747
"congrès";0,406;0,477;0,452;0,482;0,059;0,504
"conforme";0,334;0,409;0,578;0,71;0,169;0,437
"concurrent";0,406;0,32;0,375;0,406;0,636;0,504
"compléter";0,277;0,352;0,325;0,907;0,322;0,054
"commander";0,277;0,352;0,325;0,277;0,001;0,599
"collectif";0,334;0,409;0,382;0,71;0,009;0,437
"choisir";0,277;0,352;0,325;0,186;0,901;0,054
"but";0,406;0,477;0,452;0,482;0,059;0,504
"bruce";0,482;0,477;0,375;0,482;0,344;0,504
"britannique";0,334;0,508;0,382;0,087;0,891;0,437
"aussitôt";0,907;0,682;0,325;0,277;0,035;0,381
"arrangement";0,277;0,352;0,761;0,907;0,035;0,381
"apprécier";0,23;0,008;0,277;0,23;0,087;0,334
"ancien";0,406;0,477;0,452;0,482;0,636;0,265
"ajustement";0,334;0,409;0,382;0,334;0;0,437
"affectation";0,334;0,409;0,382;0,334;0;0,437
"évidemment";0,334;0,508;0,578;0,71;0,891;0,437
"élevé";0,406;0,477;0,452;0,482;0,059;0,504
"voter";0,71;0,409;0,382;0,087;0,891;0,437
"vivement";0,71;0,409;0,382;0,087;0,891;0,437
"valable";0,406;0,32;0,375;0,406;0,636;0,504
"unifier";0,406;0,477;0,452;0,025;0,344;0,265
"unification";0,334;0,409;0,382;0,002;0,891;0,437
"transférer";0,334;0,508;0,578;0,334;0,169;0,437
"tirer";0,334;0,409;0,382;0,334;0;0,437
"territorial";0,277;0,352;0;0,277;0,215;0,599
"tenue";0,406;0,32;0,452;0,406;0,059;0,504
"tendre";0,406;0,477;0,452;0,025;0,636;0,504
"tarder";0,277;0,352;0,761;0,186;0,901;0,599
"surplus";0,406;0,477;0,452;0,406;0,001;0,504
"suffire";0,277;0,352;0,325;0,277;0;0,381
"subsister";0,334;0,409;0;0,334;0,271;0,437
"sncf";0,406;0,477;0,452;0,406;0,001;0,504
"signer";0,907;0,682;0,111;0,907;0,215;0,381
"shape";0,406;0,477;0,452;0,406;0,001;0,504
"second";0,334;0,409;0,382;0,71;0,009;0,437
"réaction";0,71;0,409;0,382;0,002;0,271;0,437
"retard";0,334;0,409;0,382;0,334;0;0,437
"remplacer";0,406;0,477;0,452;0,482;0,059;0,504
"remise";0,334;0,508;0,578;0,71;0,891;0,437
"refuser";0,334;0,032;0,382;0,087;0,271;0,437
"recours";0,406;0,477;0,011;0,406;0,636;0,504
"reconstituer";0,334;0,409;0,047;0,087;0,271;0,437
"qualité";0,277;0,08;0,325;0,907;0,322;0,381
"purement";0,406;0,477;0,452;0,482;0,059;0,504
"prêter";0,277;0,352;0,325;0,907;0,001;0,381
"protocole";0,334;0,409;0,047;0,334;0,271;0,02
"pleinement";0,334;0,032;0,382;0,334;0,891;0,437
"phase";0,406;0,477;0,452;0,482;0,059;0,504
"partager";0,406;0,007;0,452;0,482;0,344;0,504
"pareil";0,334;0,508;0,578;0,334;0,169;0,437
"origine";0,334;0,409;0,382;0;0,271;0,437
"néerlandais";0,406;0,477;0,375;0,482;0,344;0,265
"nomination";0,406;0,477;0,452;0,406;0,344;0
"mutuel";0,334;0,409;0,382;0,334;0;0,437
"moderne";0,334;0,409;0,382;0,334;0;0,437
"ministère";0,334;0,409;0,382;0,334;0,009;0,437
"mercredi";0,087;0,409;0,578;0,334;0,891;0,437
"meilleur";0,334;0,508;0,578;0,334;0,169;0,437
"lumière";0,277;0,352;0,325;0,907;0,001;0,381
"local";0,406;0,477;0,452;0,406;0,001;0,504
"livrer";0,334;0,409;0,578;0,334;0,009;0,437
"lien";0,334;0,409;0,382;0,002;0,891;0,437
"joindre";0,334;0,409;0,382;0,087;0,169;0,437
"jeudi";0,406;0,32;0,375;0,406;0,636;0,504
"intérimaire";0,334;0,508;0,578;0,71;0,271;0,437
"intéressé";0,334;0,032;0,382;0,334;0,169;0,437
"instrument";0,334;0,409;0,382;0,087;0,169;0,437
"inscrire";0,277;0,682;0,325;0,277;0,322;0,054
"impression";0,406;0,477;0,452;0,482;0,059;0,504
"exemplaire";0,482;0,32;0,452;0,406;0,636;0,504
"exclusivement";0,334;0,409;0,382;0,71;0,169;0,437
"exception";0,334;0,409;0,578;0,334;0,169;0,437
"efficacité";0,406;0,477;0,452;0,482;0,059;0,504
"détriment";0,406;0,477;0,452;0,025;0,636;0,504
"définition";0,334;0,409;0,047;0,71;0,891;0,437
"défaut";0,334;0,409;0,382;0,71;0,009;0,437
"durée";0,334;0,409;0,382;0,334;0,009;0,437
"durable";0,406;0,477;0,452;0;0,344;0,504
"double";0,71;0,508;0,382;0,71;0,891;0,437
"donnée";0,334;0,409;0,578;0,71;0,169;0,437
"divergence";0,406;0,477;0,011;0,482;0,344;0,504
"disponible";0,71;0,409;0,382;0,334;0,009;0,437
"diminuer";0,334;0,508;0,382;0,334;0,009;0,437
"degré";0,406;0,477;0,452;0,406;0,001;0,504
"côté";0,406;0,477;0,452;0,482;0,059;0,504
"correspondre";0,334;0,409;0,382;0,334;0;0,437
"constamment";0,277;0,352;0,325;0,907;0,001;0,381
"conseiller";0,71;0,032;0,382;0,334;0,891;0,437
"compétent";0,406;0,32;0,452;0,406;0,059;0,504
"composition";0,406;0,477;0,452;0,482;0,636;0,265
"commandement";0,406;0,477;0,452;0,482;0,059;0,504
"clappier";0,002;0,409;0,382;0,71;0,271;0,437
"clairement";0,277;0,352;0,325;0,011;0,322;0,381
"chance";0,334;0,409;0,578;0,71;0,169;0,437
"bénéficier";0,334;0,508;0,382;0,71;0,169;0,437
"bilan";0,334;0,409;0,578;0,334;0,169;0,437
"avantage";0,277;0,682;0,325;0,011;0,901;0,381
"autoriser";0,334;0,409;0,382;0,334;0;0,437
"attribution";0,277;0,682;0,111;0,277;0,322;0,381
"argent";0,406;0,477;0,452;0,406;0,001;0,504
"apparait";0,277;0,352;0,325;0,186;0,215;0,001
"améliorer";0,406;0,477;0,452;0,482;0,059;0,504
"ambassadeur";0,334;0,409;0,382;0,002;0,891;0,437
"alinéa";0,334;0,508;0,578;0,71;0,891;0,437
"administratif";0,334;0,409;0,382;0,334;0,009;0,437
"ad_hoc";0,482;0,477;0,452;0,482;0,636;0,504
"accorder";0,71;0,409;0,382;0,334;0,009;0,437
"événement";0,406;0,477;0,452;0;0,344;0,504
"élu";0,334;0,409;0,578;0,71;0,271;0,02
"vraisemblablement";0,406;0,32;0,452;0,482;0,344;0,265
"veille";0,406;0,477;0,375;0,406;0,059;0,504
"vaste";0,334;0,508;0,382;0,087;0,891;0,437
"user";0,334;0,409;0,578;0,334;0,009;0,437
"urgence";0,406;0,477;0,452;0,406;0,001;0,504
"trait";0,406;0,477;0,375;0,482;0,636;0,504
"temporaire";0,334;0,409;0,578;0,334;0,009;0,437
"tableau";0,334;0,508;0,382;0,71;0,169;0,437
